,URL,N_area_greater_HardCutoff,N_area_greater_floor,N_skin_pix_filled_greater_floor,N_amt_horiz_vert_lines_less_ceil,N_hull_filled_greater_floor,percent_area_gr_HardCutoff,percent_area_gr_floor,percent_area_skinpix_gr_floor,percent_area_horiz_vert_less_ceil,percent_area_hull_filled_gr_floor
0,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10576064_262502843940251_523348323_n.jpg,50.0,6.0,14.0,0.0,6.0,0.13756591796875,0.1060546875,0.03342041015625,0.0,0.00432373046875
1,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10575977_271052399767615_896800368_n.jpg,31.0,3.0,6.0,0.0,9.0,0.103134765625,0.07421142578125,0.06929931640625,0.0,0.02107421875
2,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/928636_704202829649887_541257724_n.jpg,11.0,1.0,3.0,0.0,4.0,0.02110107421875,0.0130615234375,0.01391845703125,0.0,0.0016162109375
3,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10513723_667449300003657_211260558_n.jpg,14.0,5.0,5.0,0.0,5.0,0.10914794921875,0.10445556640625,0.05794189453125,0.0,0.02451416015625
4,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/10520220_1447171665569442_287562932_n.jpg,23.0,0.0,4.0,0.0,11.0,0.02597412109375,0.0,0.00510498046875,0.0,0.0155517578125
5,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10538717_413119388826897_11899544_n.jpg,3.0,0.0,0.0,0.0,0.0,0.001875,0.0,0.0,0.0,0.0
6,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10488638_368127123334400_926998021_n.jpg,32.0,0.0,0.0,0.0,1.0,0.01971435546875,0.0,0.0,0.0,0.0013330078125
7,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10518221_832001020145560_215617438_n.jpg,2.0,0.0,1.0,0.0,1.0,0.00105712890625,0.0,0.0007861328125,0.0,0.0007861328125
8,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10513979_344060012418417_1965524293_n.jpg,29.0,0.0,2.0,0.0,1.0,0.01693359375,0.0,0.00119384765625,0.0,0.00058349609375
9,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10520255_780669968649976_1874690894_n.jpg,52.0,0.0,12.0,0.0,4.0,0.027333984375,0.0,0.008486328125,0.0,0.0014501953125
10,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/10499250_767973493270296_13534798_n.jpg,25.0,0.0,1.0,0.0,4.0,0.01746337890625,0.0,0.000732421875,0.0,0.00378662109375
11,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/925571_717471018312773_706730747_n.jpg,11.0,0.0,2.0,0.0,1.0,0.013818359375,0.0,0.00537841796875,0.0,0.00474365234375
12,http://scontent-b.cdninstagram.com/hphotos-xfp1/t51.2885-15/10534920_1642991869258313_2055251360_n.jpg,77.0,2.0,3.0,0.0,11.0,0.0831396484375,0.01796142578125,0.003896484375,0.0,0.01246826171875
13,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/10326377_542156342562771_39123425_n.jpg,55.0,7.0,6.0,3.0,26.0,0.14548583984375,0.09332275390625,0.03292724609375,0.05806396484375,0.05984130859375
14,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/10488784_303229489843992_1240774636_n.jpg,39.0,2.0,4.0,1.0,8.0,0.1774658203125,0.144287109375,0.14759521484375,0.12771240234375,0.007392578125
15,http://scontent-b.cdninstagram.com/hphotos-xpf1/t51.2885-15/10549751_1447620775497460_1862699874_n.jpg,28.0,1.0,9.0,0.0,7.0,0.0336083984375,0.0139794921875,0.0202197265625,0.0,0.0050048828125
16,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10431938_727627850630255_814121194_n.jpg,13.0,2.0,6.0,0.0,3.0,0.01976806640625,0.0124853515625,0.00906494140625,0.0,0.0017626953125
17,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/10520214_1511114522433933_410877941_n.jpg,20.0,1.0,5.0,0.0,4.0,0.0212646484375,0.0069287109375,0.01069580078125,0.0,0.0040625
18,http://scontent-b.cdninstagram.com/hphotos-prn/t51.2885-15/929148_274445952747337_173131514_n.jpg,21.0,0.0,5.0,1.0,2.0,0.02294921875,0.0,0.006787109375,0.00479736328125,0.0057958984375
19,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10369531_322641084550291_37346405_n.jpg,49.0,2.0,22.0,1.0,10.0,0.06782470703125,0.02323486328125,0.05216064453125,0.00380615234375,0.0135205078125
20,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/926178_864209476939637_952187596_n.jpg,37.0,2.0,7.0,0.0,4.0,0.05838623046875,0.0311181640625,0.01148193359375,0.0,0.006171875
21,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/927294_676667162369433_681773965_n.jpg,39.0,2.0,3.0,0.0,6.0,0.06700439453125,0.0278662109375,0.01419189453125,0.0,0.00747802734375
22,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/10375878_1910862279054485_1571429357_n.jpg,26.0,5.0,10.0,1.0,11.0,0.08647216796875,0.06024169921875,0.055625,0.01165771484375,0.02439453125
23,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/10326603_284410818399920_1822644865_n.jpg,33.0,0.0,7.0,0.0,8.0,0.03333984375,0.0,0.0120654296875,0.0,0.01436279296875
24,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10522816_1516545778574505_1833184191_n.jpg,7.0,0.0,2.0,0.0,0.0,0.00238037109375,0.0,0.00063232421875,0.0,0.0
25,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10523245_787556207931910_443812275_n.jpg,26.0,0.0,5.0,0.0,6.0,0.02252197265625,0.0,0.00398681640625,0.0,0.0042822265625
26,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10569901_1457189951214620_1382211011_n.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/10547214_1525215181035253_1303343088_n.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/10561155_259192124270630_596940153_n.jpg,1.0,0.0,0.0,0.0,0.0,0.00045166015625,0.0,0.0,0.0,0.0
29,http://scontent-b.cdninstagram.com/hphotos-xpf1/t51.2885-15/10475212_681523311896392_67601490_n.jpg,13.0,0.0,1.0,0.0,0.0,0.010830078125,0.0,0.000771484375,0.0,0.0
